product;sourceService;targetService;protocol;port;description
VBR;Backup proxy;Dell PowerScale storage system;TCP;445;Required for SMB connectivity.
VBR;Backup server;HPE 3PAR StoreServ storage system;TCP;8008;Required for communication over HTTP.
VBR;Backup server;HPE 3PAR StoreServ storage system;TCP;8080;Required for communication over HTTPS.
VBR;Backup server;HPE 3PAR StoreServ storage system;TCP;22;Required for communication over SSH.
VBR;Backup proxy;HPE 3PAR StoreServ storage system;TCP;3260;Required for iSCSI connectivity.
VBR;Backup server;HPE Alletra Storage MP B10000, Alletra 9000, Primera storage system;TCP;443;Required for communication over HTTPS.
VBR;Backup server;HPE Alletra Storage MP B10000, Alletra 9000, Primera storage system;TCP;22;Required for communication over SSH.
VBR;Backup proxy;HPE Alletra Storage MP B10000, Alletra 9000, Primera storage system;TCP;3260;Required for iSCSI connectivity.
VBR;Backup proxy;HPE Alletra Storage MP B10000, Alletra 9000;TCP;4420, 8009;Required for NVMe-oF connectivity.
VBR;Backup server;HPE Alletra 5000, Alletra 6000/Nimble storage system;TCP;5392;-
VBR;Backup proxy;HPE Alletra 5000, Alletra 6000/Nimble storage system;TCP;3260;Required for iSCSI connectivity.
VBR;Backup server;Storage system;TCP;80;Required for communication over HTTP.
VBR;Backup server;Storage system;TCP;443;Required for communication over HTTPS.
VBR;Backup proxy;Storage system;TCP, UDP;111, 2049, 635;Required for NFS connectivity.
VBR;Backup proxy;Storage system;TCP;445;Required for SMB connectivity.
VBR;Backup proxy;Storage system;TCP;3260;Required for iSCSI connectivity.
VBR;Backup server;Nutanix Files storage system;TCP;9440;-
VBR;Backup proxy;Nutanix Files storage system;TCP, UDP;111, 2049, 20048;Required for NFS connectivity.
VBR;Backup proxy;Nutanix Files storage system;TCP;445;Required for SMB connectivity.
VBR;Backup server;Storage system;TCP;443;Required for communication over HTTPS.
VBR;Backup proxy;Storage system;TCP;3260;Required for iSCSI connectivity.
VBR;Backup server;Dell SC Series storage system;TCP;3033;Required for communication over HTTPS.
VBR;Backup proxy;Dell SC Series storage system;TCP;3260;Required for iSCSI connectivity.
VBR;Backup server;Dell PowerMax storage system;TCP;8443;Required for communication over HTTPS.
VBR;Backup proxy;Dell PowerMax storage system;TCP;3260;Required for iSCSI connectivity.
VBR;Backup server;Storage system;TCP;22;Required for communication over SSH.
VBR;Backup proxy;Storage system;TCP;3260;Required for iSCSI connectivity.
VBR;Backup server;Storage system;TCP;443;Required for communication over HTTPS.
VBR;Backup proxy;Storage system;TCP;3260;Required for iSCSI connectivity.
VBR;Backup proxy;Storage system;TCP, UDP;111, 2049;Required for NFS connectivity.
VBR;Backup server (primary or standby);PostgreSQL configuration database;TCP;5432;The connection should be opened from the primary backup server to its configuration database, and from the standby backup server to its configuration database.
VBR;Backup Server Cluster member;Backup Server Cluster member;TCP;8008, 8500;-
VBR;Backup server;vCenter Server;TCP;443;The backup server should have a direct connection to vCenter Server. HTTP/HTTPS proxy servers are not supported. If you use VMware Cloud Director, make sure you open port 443 on underlying vCenter Servers.
VBR;Backup proxy;vCenter Server;TCP;443;This port can be customized in vCenter settings.
VBR;Backup proxy;ESXi server;TCP;902;This port is not required for VMware Cloud on AWS.
VBR;Backup proxy;ESXi server;TCP;443;Not required if a vCenter connection or VMware Cloud on AWS is used.
VBR;Backup server;ESXi server;TCP;443;This port is not required for VMware Cloud on AWS.
VBR;Backup server;ESXi server;TCP;902;This port is not required for VMware Cloud on AWS.
VBR;Backup server;VMware Cloud Director;TCP;443;The backup server should have a direct connection to VMware Cloud Director. HTTP/HTTPS proxy servers are not supported.
VBR;Backup server;SCVMM;TCP;8732;-
VBR;Backup server;SCVMM;TCP;445, 137, 139;These ports are not required if the Veeam Deployment Kit is installed on the backup infrastructure component. Note: 137 and 139 are legacy ports. If your backup infrastructure components do not use SMB 1.0, they are not required.
VBR;Backup server;SCVMM;TCP;6160;-
VBR;Backup server;SCVMM;TCP;6162, 2500 to 3300;The port range 2500-3300 is used for failover if port 6162 is unavailable.
VBR;Backup server;Hyper-V server;TCP;445, 135, 137, 139;These ports are not required if the Veeam Deployment Kit is installed on the backup infrastructure component. Note: 137 and 139 are legacy ports. If your backup infrastructure components do not use SMB 1.0, they are not required.
VBR;Backup server;Hyper-V server;TCP;6160;-
VBR;Backup server;Hyper-V server;TCP;6162, 2500 to 3300;The port range 2500-3300 is used for failover if port 6162 is unavailable.
VBR;Backup server;Hyper-V server;TCP;6163;-
VBR;Backup server;Hyper-V server;TCP;2179;Required for Instant Recovery to Microsoft Hyper-V and Recovery Verification for Microsoft Hyper-V.
VBR;Backup server;Hyper-V server;TCP;49152 to 65535;If you use default Microsoft Windows firewall settings, you do not need to configure these dynamic RPC ports. During setup, Veeam Backup & Replication automatically creates a firewall rule for the runtime process. If you use firewall settings other than default ones or application-aware processing fails with the "RPC function call failed" error, you need to configure dynamic RPC ports. For more information on RPC dynamic port allocation, see this Microsoft KB article and this Microsoft KB article.
VBR;Microsoft Windows/Linux-based backup repository;Hyper-V server;TCP;6162, 2500 to 3300;The port range 2500-3300 is used for failover if port 6162 is unavailable.
VBR;Hyper-V server/Off-host backup proxy;Hyper-V server;TCP;6162, 2500 to 3300;The port range 2500-3300 is used for failover if port 6162 is unavailable.
VBR;Backup server;Microsoft SMB3 server (Hyper-V storage);TCP;6160;-
VBR;Backup server;Microsoft SMB3 server (Hyper-V storage);TCP;6162, 2500-3300;The port range 2500-3300 is used for failover if port 6162 is unavailable.
VBR;Backup server;Microsoft SMB3 server (Hyper-V storage);TCP;6163;-
VBR;Backup server;Hyper-V server/Off-host backup proxy;TCP;445, 135, 137, 139;These ports are not required if the Veeam Deployment Kit is installed on the backup infrastructure component. Note: 137 and 139 are legacy ports. If your backup infrastructure components do not use SMB 1.0, they are not required.
VBR;Backup server;Hyper-V server/Off-host backup proxy;TCP;6160;-
VBR;Backup server;Hyper-V server/Off-host backup proxy;TCP;6162, 2500 to 3300;The port range 2500-3300 is used for failover if port 6162 is unavailable.
VBR;Backup server;Hyper-V server/Off-host backup proxy;TCP;6163;-
VBR;Backup server;Hyper-V server/Off-host backup proxy;TCP;49152 to 65535;If you use default Microsoft Windows firewall settings, you do not need to configure these dynamic RPC ports. During setup, Veeam Backup & Replication automatically creates a firewall rule for the runtime process. If you use firewall settings other than default ones or application-aware processing fails with the "RPC function call failed" error, you need to configure dynamic RPC ports. For more information on RPC dynamic port allocation, see this Microsoft KB article and this Microsoft KB article.
VBR;Backup server;Off-host backup proxy;TCP;6210;Required for VSS snapshot during SMB file share backup.
